,Company,Location,Date,Rocket,Country
4027,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2017-12-15,Falcon 9 Block 3, USA
4028,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-12-17,Soyuz FG, Kazakhstan
4029,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2017-12-17,New Shepard, USA
4030,MHI,"LA-Y1, Tanegashima Space Center, Japan",2017-12-23,H-IIA 202, Japan
4031,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-12-23,Falcon 9 Block 3, USA
4032,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017-12-23,Long March 2D, China
4033,CASC,"LC-3, Xichang Satellite Launch Center, China",2017-12-25,Long March 2C, China
4034,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2017-12-26,Zenit-3 SLBF, Kazakhstan
4035,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-01-08,Falcon 9 Block 4, USA
4036,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018-01-09,Long March 2D, China
4037,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-01-11,Long March 3B/YZ-1, China
4038,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-01-12,PSLV-XL, India
4039,ULA,"SLC-6, Vandenberg AFB, California, USA",2018-01-12,"Delta IV Medium+ (5,2)", USA
4040,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-01-13,Long March 2D, China
4041,JAXA,"Mu Pad, Uchinoura Space Center, Japan",2018-01-17,Epsilon PBS, Japan
4042,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2018-01-19,Long March 11, China
4043,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2018-01-20,Atlas V 411, USA
4044,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2018-01-21,Electron/Curie, New Zealand
4045,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-01-25,Long March 2C, China
4046,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-01-25,Ariane 5 ECA, France
4047,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-01-31,Falcon 9 Block 3, USA
4048,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2018-02-01,Soyuz 2.1a/Fregat-M, Russia
4049,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-02-02,Long March 2D, China
4050,JAXA,"Uchinoura Space Center, Japan",2018-02-03,SS-520, Japan
4051,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2018-02-06,Falcon Heavy, USA
4052,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-02-12,Long March 3B/YZ-1, China
4053,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018-02-13,Soyuz 2.1a, Kazakhstan
4054,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-02-22,Falcon 9 Block 3, USA
4055,MHI,"LA-Y1, Tanegashima Space Center, Japan",2018-02-27,H-IIA 202, Japan
4056,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2018-03-01,Atlas V 541, USA
4057,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-03-06,Falcon 9 Block 4, USA
