,Company,Location,Date,Rocket,Country
982,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1971-05-30,Atlas-SLV3C Centaur-D, USA
983,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-06-04,Cosmos-3M (11K65M), Russia
984,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1971-06-06,Soyuz, Kazakhstan
985,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-06-11,Voskhod, Russia
986,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-06-12,Soyuz L, Kazakhstan
987,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1971-06-15,Titan IIID, USA
988,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-06-24,Voskhod, Kazakhstan
989,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-06-25,Voskhod, Russia
990,RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",1971-06-26,N1-L3, Kazakhstan
991,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-07-16,Vostok-2M, Russia
992,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-07-20,Voskhod, Kazakhstan
993,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-07-22,Cosmos-3M (11K65M), Russia
994,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-07-23,Voskhod, Russia
995,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-07-26,Saturn V, USA
996,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-07-28,Molniya-M /Block L, Russia
997,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-07-28,Voskhod, Russia
998,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-07-30,Voskhod, Kazakhstan
999,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-08-03,Cosmos-2I (63SM), Russia
1000,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-08-05,Voskhod, Kazakhstan
1001,General Dynamics,"LC-576A2, Vandenberg AFB, California, USA",1971-08-07,Atlas-E/F OV1, USA
1002,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",1971-08-08,Tsyklon, Kazakhstan
1003,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1971-08-12,Titan III(24)B, USA
1004,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-08-19,Voskhod, Kazakhstan
1005,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-08-27,Cosmos-2I (63SM), Russia
1006,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1971-09-02,Proton K/Block D, Kazakhstan
1007,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-09-07,Cosmos-3M (11K65M), Russia
1008,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-09-10,Cosmos-3M (11K65M), Russia
1009,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1971-09-14,Voskhod, Russia
1010,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-09-21,Voskhod, Russia
1011,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-09-24,Cosmos-2I (63SM), Russia
1012,ISAS,"Mu Pad, Uchinoura Space Center, Japan",1971-09-28,Mu-IV S, Japan
1013,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-09-28,Voskhod, Kazakhstan
1014,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1971-09-28,Proton K/Block D, Kazakhstan
1015,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-09-29,Voskhod, Russia
1016,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-10-07,Voskhod, Russia
1017,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-10-13,Cosmos-3M (11K65M), Russia
1018,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-10-14,Voskhod, Kazakhstan
1019,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-10-19,Cosmos-2I (63SM), Russia
1020,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1971-10-23,Titan III(24)B, USA
1021,RAE,"LA-5B, RAAF Woomera Range Complex, Australia",1971-10-28,Black Arrow, Australia
1022,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1971-11-02,Voskhod, Russia
1023,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1971-11-03,Titan III(23)C, USA
1024,CECLES,"ELA-1, Guiana Space Centre, French Guiana, France",1971-11-04,Europa 2, France
1025,ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1971-11-15,Scout B, Kenya
1026,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-11-17,Cosmos-2I (63SM), Russia
1027,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-11-19,Voskhod, Russia
1028,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-11-20,Cosmos-3M (11K65M), Russia
1029,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-11-24,Molniya-M /Block L, Russia
1030,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-11-29,Cosmos-2I (63SM), Russia
1031,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1971-11-29,Cosmos-3M (11K65M), Russia
1032,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-11-30,Cosmos-3M (11K65M), Russia
1033,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1971-12-02,Cosmos-2I (63SM), Russia
1034,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1971-12-02,Cosmos-3M (11K65M), Russia
1035,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-12-03,Voskhod, Russia
1036,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1971-12-03,Tsyklon-2, Kazakhstan
1037,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1971-12-04,Atlas-SLV3A Agena-D, USA
1038,CNES,"ELD, Guiana Space Centre, French Guiana, France",1971-12-05,Diamant B, France
1039,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-12-06,Voskhod, Kazakhstan
1040,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-12-10,Voskhod, Russia
1041,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-12-15,Cosmos-3M (11K65M), Russia
1042,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-12-16,Voskhod, Kazakhstan
1043,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-12-17,Cosmos-2I (63SM), Russia
1044,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-12-17,Cosmos-3M (11K65M), Russia
1045,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-12-19,Molniya-M /Block L, Russia
1046,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1971-12-20,Atlas-SLV3C Centaur-D, USA
1047,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1971-12-25,Tsyklon-2, Kazakhstan
1048,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1971-12-27,Soyuz M, Russia
1049,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1971-12-27,Cosmos-3M (11K65M), Russia
1050,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-12-29,Vostok-2M, Russia
1051,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-01-12,Voskhod, Kazakhstan
1052,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1972-01-20,Titan IIID, USA
1053,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1972-01-23,Atlas-SLV3C Centaur-D, USA
1054,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-01-25,Cosmos-2I (63SM), Russia
1055,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-02-03,Voskhod, Kazakhstan
1056,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-02-08,Cosmos-3MRB (65MRB), Russia
1057,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1972-02-14,Proton K/Block D, Kazakhstan
1058,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-02-16,Voskhod, Kazakhstan
1059,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1972-02-16,Titan-III(33)B Agena-D, USA
1060,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-02-25,Cosmos-3M (11K65M), Russia
1061,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1972-03-01,Titan III(23)C, USA
1062,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-03-01,Vostok-2M, Russia
1063,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1972-03-03,Atlas-SLV3C Centaur-D, USA
1064,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-03-04,Voskhod, Russia
1065,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-03-15,Voskhod, Russia
1066,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-03-17,Titan III(24)B, USA
1067,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-03-22,Cosmos-3M (11K65M), Russia
1068,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-03-25,Cosmos-3M (11K65M), Russia
1069,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-03-25,Cosmos-2I (63SM), Russia
1070,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-03-27,Molniya-M /Block NVL, Kazakhstan
1071,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-03-30,Vostok-2M, Russia
1072,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-03-31,Molniya-M /Block NVL, Kazakhstan
1073,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-04-03,Voskhod, Russia
1074,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-04-04,Molniya-M /Block L, Russia
1075,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-04-06,Voskhod, Russia
1076,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-04-07,Voskhod, Kazakhstan
1077,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-04-11,Cosmos-2I (63SM), Russia
1078,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-04-12,Molniya-M /Block SO-L, Kazakhstan
1079,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-04-14,Voskhod, Russia
1080,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-04-16,Saturn V, USA
1081,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-04-21,Cosmos-2I (63SM), Russia
1082,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-04-25,Cosmos-2I (63SM), Russia
1083,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-05-05,Voskhod, Russia
1084,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-05-06,Cosmos-3M (11K65M), Russia
1085,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-05-17,Voskhod, Russia
1086,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-05-19,Molniya-M /Block L, Russia
1087,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-05-20,Titan III(24)B, USA
1088,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-05-25,Voskhod, Kazakhstan
1089,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-06-09,Voskhod, Kazakhstan
1090,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1972-06-13,Atlas-SLV3C Centaur-D, USA
1091,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-06-21,Voskhod, Kazakhstan
1092,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-06-23,Cosmos-3M (11K65M), Russia
1093,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-06-23,Voskhod, Russia
1094,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-06-29,Molniya-M /Block SO-L, Kazakhstan
1095,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-06-30,Cosmos-2I (63SM), Russia
1096,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-06-30,Vostok-2M, Russia
1097,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1972-07-02,Soyuz, Kazakhstan
1098,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-07-05,Cosmos-2I (63SM), Russia
1099,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-07-06,Voskhod, Kazakhstan
1100,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1972-07-07,Titan IIID, USA
1101,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-07-10,Cosmos-3M (11K65M), Russia
1102,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-07-12,Cosmos-2I (63SM), Russia
1103,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-07-13,Soyuz M, Russia
1104,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-07-19,Voskhod, Russia
1105,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-07-20,Cosmos-3M (11K65M), Russia
1106,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1972-07-29,Proton K/Block D, Kazakhstan
1107,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-08-02,Voskhod, Kazakhstan
1108,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1972-08-10,Feng Bao 1, China
1109,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-08-16,Cosmos-3M (11K65M), Russia
1110,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-08-18,Voskhod, Russia
1111,ISAS,"Mu Pad, Uchinoura Space Center, Japan",1972-08-19,Mu-IV S, Japan
1112,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1972-08-21,Atlas-SLV3C Centaur-D, USA
1113,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1972-08-21,Tsyklon-2, Kazakhstan
1114,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-08-30,Cosmos-2I (63SM), Russia
1115,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-08-30,Voskhod, Kazakhstan
1116,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-09-01,Titan III(24)B, USA
1117,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-09-02,Voskhod, Russia
1118,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-09-15,Voskhod, Russia
1119,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-09-16,Voskhod, Kazakhstan
1120,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-09-19,Molniya-M /Block 2BL, Russia
1121,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-09-29,Cosmos-3M (11K65M), Russia
1122,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-09-30,Molniya-M /Block L, Russia
1123,General Dynamics,"LC-576A1, Vandenberg AFB, California, USA",1972-10-02,Atlas-E/F Burner, USA
1124,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-10-04,Voskhod, Russia
1125,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-05,Cosmos-2I (63SM), Russia
1126,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1972-10-10,Titan IIID, USA
1127,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-11,Cosmos-2I (63SM), Russia
1128,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-10-14,Molniya-M /Block L, Russia
1129,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-10-17,Cosmos-3M (11K65M), Russia
1130,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-18,Voskhod, Russia
1131,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-25,Cosmos-2I (63SM), Russia
1132,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-26,Vostok-2M, Russia
1133,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-31,Voskhod, Russia
1134,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-11-01,Cosmos-3M (11K65M), Russia
1135,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-11-03,Cosmos-3M (11K65M), Russia
1136,ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1972-11-15,Scout D1, Kenya
1137,RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",1972-11-23,N1-L3, Kazakhstan
1138,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-11-25,Voskhod, Kazakhstan
1139,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-11-30,Cosmos-2I (63SM), Russia
1140,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1972-12-02,Molniya-M /Block L, Kazakhstan
1141,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-12-12,Molniya-M /Block L, Russia
1142,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-12-14,Voskhod, Russia
1143,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19,Saturn V, USA
1144,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1972-12-20,Atlas-SLV3A Agena-D, USA
1145,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-12-21,Cosmos-3M (11K65M), Russia
1146,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-12-21,Titan III(24)B, USA
1147,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-12-25,Cosmos-3M (11K65M), Russia
1148,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-12-27,Soyuz M, Russia
1149,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-12-28,Vostok-2M, Russia
1150,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-01-11,Voskhod, Kazakhstan
1151,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-01-20,Cosmos-3M (11K65M), Russia
1152,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-01-24,Cosmos-2I (63SM), Russia
1153,RVSN USSR,"Site 107/1, Kapustin Yar, Russia",1973-01-26,Cosmos-3M (11K65M), Russia
1154,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-02-01,Voskhod, Kazakhstan
1155,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-02-03,Molniya-M /Block L, Kazakhstan
1156,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-02-08,Voskhod, Russia
1157,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-02-15,Molniya-M /Block SO-L, Kazakhstan
1158,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-02-28,Cosmos-3M (11K65M), Russia
1159,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-03-01,Voskhod, Russia
1160,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-03-06,Voskhod, Kazakhstan
1161,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1973-03-06,Atlas-SLV3A Agena-D, USA
1162,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-03-09,Titan IIID, USA
1163,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-03-20,Vostok-2M, Russia
1164,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-03-22,Voskhod, Russia
1165,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1973-04-03,Proton K, Kazakhstan
1166,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-04-05,Molniya-M /Block L, Russia
1167,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1973-04-06,Atlas-SLV3D Centaur-D1A, USA
1168,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-04-12,Cosmos-2I (63SM), Russia
1169,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-04-19,Voskhod, Russia
1170,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1973-04-19,Cosmos-2I (63SM), Russia
1171,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1973-04-25,Tsyklon-2, Kazakhstan
1172,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-04-25,Voskhod, Russia
1173,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-05-05,Voskhod, Russia
1174,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1973-05-14,Saturn V, USA
1175,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-05-16,Titan III(24)B, USA
1176,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-05-17,Cosmos-2I (63SM), Russia
1177,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-05-18,Soyuz U, Russia
1178,CNES,"ELD, Guiana Space Centre, French Guiana, France",1973-05-22,Diamant B, France
1179,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-05-23,Voskhod, Russia
1180,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1973-05-24,Cosmos-3MRB (65MRB), Russia
1181,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-05-25,Cosmos-3M (11K65M), Russia
1182,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-05-25,Saturn IB, USA
1183,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-05-25,Voskhod, Russia
1184,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-05-29,Vostok-2M, Russia
1185,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-06-05,Cosmos-2I (63SM), Russia
1186,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-06-06,Voskhod, Russia
1187,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-06-08,Cosmos-3M (11K65M), Russia
1188,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-06-10,Voskhod, Kazakhstan
1189,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1973-06-12,Titan III(23)C, USA
1190,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-06-15,Soyuz, Kazakhstan
1191,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-06-20,Cosmos-3M (11K65M), Russia
1192,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-06-21,Voskhod, Russia
1193,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-06-26,Cosmos-3M (11K65M), Russia
1194,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-06-26,Titan III(24)B, USA
1195,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-06-27,Soyuz M, Russia
1196,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-07-04,Voskhod, Russia
1197,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-07-11,Molniya-M /Block L, Russia
1198,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-07-13,Titan IIID, USA
1199,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-07-25,Voskhod, Russia
1200,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-07-28,Saturn IB, USA
1201,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-08-01,Voskhod, Russia
1202,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-08-21,Voskhod, Russia
1203,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1973-08-21,Titan-III(33)B Agena-D, USA
1204,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-08-22,Cosmos-2I (63SM), Russia
1205,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1973-08-23,Atlas-SLV3D Centaur-D1A, USA
1206,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-08-24,Voskhod, Kazakhstan
1207,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-08-28,Cosmos-3M (11K65M), Russia
1208,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-08-30,Molniya-M /Block L, Russia
1209,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-08-30,Voskhod, Kazakhstan
1210,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-09-06,Voskhod, Russia
1211,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-09-08,Cosmos-3M (11K65M), Russia
1212,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-09-14,Cosmos-3M (11K65M), Russia
1213,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1973-09-18,Feng Bao 1, China
1214,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-09-21,Soyuz U, Russia
1215,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-09-27,Soyuz, Kazakhstan
1216,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-09-27,Titan III(24)B, USA
1217,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-10-02,Cosmos-3M (11K65M), Russia
1218,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-03,Voskhod, Russia
1219,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-06,Voskhod, Russia
1220,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-10,Voskhod, Russia
1221,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-10-15,Voskhod, Kazakhstan
