Company,Rocket,count
General Dynamics,Atlas SLV-3,1
General Dynamics,Atlas IIAS,1
RVSN USSR,Sputnik 8A91,1
General Dynamics,Atlas IIA,1
GK LS,Soyuz 2.1a/Fregat-M,1
ESA,Vega,1
RVSN USSR,Energiya/Polyus,1
ESA,Ariane 5 G,1
Douglas,Delta 3920-8,1
Lockheed,Titan IV(405)B,1
CECLES,Europa 1,1
Roscosmos,Soyuz,1
CASIC,Kuaizhou 1A,1
Roscosmos,Soyuz 2.1a/Fregat,1
Roscosmos,Soyuz 2.1a/Fregat-M,1
JAXA,Epsilon,1
ASI,Scout G1,1
NASA,Scout X-3,1
Boeing,Delta II 7920-8,1
Boeing,Delta II 7426,1
Boeing,Delta II 7425-10C,1
UT,Lambda-IV S,1
VKS RF,Angara A5/Briz-M,1
Boeing,Delta II 6925-8,1
Boeing,Delta II 6920-8,1
VKS RF,Molniya-M /Block NVL,1
VKS RF,Rokot/Briz K,1
Boeing,Delta 4925-8,1
ASI,Scout F1,1
ASI,Scout B1,1
Yuzhmash,Tsyklon-2,1
Yuzhmash,Tsyklon-3,1
Boeing,Delta III 8930,1
ULA,Delta II 7925H,1
MHI,H-I UM-129A (6SO),1
ULA,Delta II 7925-10L,1
CASC,Long March 2C/SMA,1
CASC,Jielong-1,1
ULA,Atlas V 511,1
CAS Space,Zhongke-1A,1
CASC,Long March 2D/YZ-3,1
ULA,Delta II 7925-10C,1
Boeing,Delta II 7920-10L,1
Boeing,Delta II 7920H,1
NASA,Scout X-4,1
Starsem,Soyuz FG/Fregat,1
ISRO,ASLV,1
ISA,Zoljanah,1
ISA,Safir-1B+,1
ISA,Safir-1B,1
ISA,Safir-1A,1
ISA,Safir-1,1
Northrop,Minotaur V,1
ILS,Atlas V 551,1
ILS,Atlas V 431,1
RAE,Black Arrow,1
JAXA,Epsilon Demo,1
CASC,Long March 3C/YZ-1,1
Roscosmos,Proton-M,1
CASC,Long March 3C,1
US Air Force,Delta B,1
US Air Force,SM-65B Atlas,1
US Air Force,Scout X-2M,1
US Air Force,Scout X-3M,1
US Air Force,Scout X-4,1
US Air Force,Thor DM-18 Able-II,1
US Air Force,Thor DM-18 Able-III,1
US Air Force,Thor DM-18 Able-IV,1
Boeing,Delta II 7925-10L,1
i-Space,Hyperbola-1,1
